Name,Profile,Team,Matches_Played,Total_points,Successful_raids,Raid_points,Successful_tackles,Tackle_points,Avg_raid_points,Avg_tackle_points,Do_or_Die_raid_points,Super_raids,Super_tackles,Super_10s,High_5s,Season
vijin thangadurai,Defender,Bengal Warriors,16,10,,,8,10,,0.63,,,2,,,6
rajaguru subramanian,Defender,U Mumba,8,10,,,10,10,,1.25,,,,,,6
sandeep,All Rounder,Puneri Paltan,5,10,4,7,2,3,3.5,0.6,2,,1,,,6
vishal,All Rounder,Dabang Delhi,6,10,1,1,7,9,0.25,1.5,1,,2,,,6
anand surendra tomar,Raider,Haryana Steelers,5,9,7,8,1,1,1.6,,2,,,,,6
ajit singh,Raider,Jaipur Pink Panthers,6,9,7,9,,,1.5,,2,,,,,6
ravinder kumar,All Rounder,Patna Pirates,8,9,,,8,9,,1.13,,,1,,,6
bhanu pratap tomar,Raider,UP Yoddha,6,9,6,9,,,1.5,,1,,,,,6
rajnish,Raider,Telugu Titans,4,9,8,9,,,2.25,,1,,,,,6
amit kumar,Raider,Puneri Paltan,6,8,4,8,,,1.6,,6,1,,,,6
anand,Raider,Tamil Thalaivas,3,8,7,8,,,2.67,,3,,,,,6
anil kumar,Raider,Tamil Thalaivas,4,8,,,8,8,,2,,,,,1,6
c. arun,Defender,Tamil Thalaivas,16,8,,,8,8,,0.5,,,,,,6
yogesh hooda,Raider,Dabang Delhi,6,8,1,3,5,5,0.6,0.83,1,,,,,6
shabeer bappu,Raider,Dabang Delhi,6,7,6,7,,,1.17,0,,,,,,6
d. gopu,Defender,Tamil Thalaivas,5,7,,,5,7,,1.4,,,2,,,6
anil kumar,Defender,Dabang Delhi,5,7,,,6,7,,1.4,,,1,,,6
lalit chaudhary,Raider,Gujarat Fortune Giants,3,7,1,3,3,4,1,,,,1,,,6
mahesh maruti magdum,All Rounder,Bengaluru Bulls,4,7,5,7,,,2.33,,2,,,,,6
victor onyango obiero,All Rounder,Tamil Thalaivas,3,6,4,6,,,2,,,,,,,6
anuj kumar,Defender,Telugu Titans,7,6,1,1,4,5,,0.71,,,1,,,6
bhuvneshwar gaur,Raider,Haryana Steelers,6,6,3,6,,,1,,,,,,,6
viraj vishnu landge,Defender,Dabang Delhi,7,6,,,6,6,,0.86,,,,,,6
amit,Defender,UP Yoddha,14,6,,,5,6,,0.43,,,1,,,6
darshan j.,Defender,Tamil Thalaivas,9,6,,,6,6,,0.67,,,,,,6
prateek,All Rounder,Haryana Steelers,6,5,1,3,2,2,0.6,,,,,,,6
dharmender,Raider,Gujarat Fortune Giants,4,5,2,5,,,1.67,,,1,,,,6
sudhanshu tyagi,Defender,Haryana Steelers,13,4,,,4,4,,0.31,,,,,,6
ajay,Defender,Bengaluru Bulls,7,4,,,4,4,,0.57,,,,,,6
arjun deshwal,Raider,U Mumba,3,4,3,4,,,1.33,,,,,,,6
lokesh kaushik,Raider,Jaipur Pink Panthers,6,4,2,2,2,2,0.4,,,,,,,6
gangadhari mallesh,Raider,Jaipur Pink Panthers,6,4,1,2,1,2,0.4,0.33,1,,1,,,6
jasmer singh gulia,All Rounder,Bengaluru Bulls,6,4,,,4,4,,0.67,,,,,,6
manoj dhull,Defender,Bengal Warriors,8,4,,,3,4,,0.5,,,1,,,6
david shilisia j mosambayi,Raider,Jaipur Pink Panthers,4,4,1,4,,,1,,,,,,,6
amit kumar,Raider,Bengal Warriors,2,4,1,1,3,3,0.5,1.5,1,,,,,6
rohit kumar choudary,Raider,UP Yoddha,6,3,2,3,,,0.5,,,,,,,6
anand v,Raider,Bengaluru Bulls,3,3,3,3,,,1,,3,,,,,6
vijay kumar,Defender,Patna Pirates,4,3,1,2,1,1,,0.25,2,,,,,6
md. masud karim,Raider,UP Yoddha,3,3,2,3,,,,,1,,,,,6
mithin kumar,Raider,Bengal Warriors,3,3,2,3,,,1,,2,,,,,6
ankit,Defender,Bengaluru Bulls,6,3,,,3,3,,0.5,,,,,,6
vimal raj v,All Rounder,Tamil Thalaivas,5,2,2,2,,,0.5,,1,,,,,6
gaurav kumar,Raider,U Mumba,3,2,2,2,,,0.67,,,,,,,6
amit kharb,Defender,Gujarat Fortune Giants,6,2,,,1,2,,0.33,,,1,,,6
vishav chaudhary,Defender,UP Yoddha,2,2,1,2,,,1,,,,,,,6
n. shiva ramakrishna,All Rounder,Jaipur Pink Panthers,1,2,,,1,2,,,,,1,,,6
shubham ashok palkar,Raider,Gujarat Fortune Giants,4,2,2,2,,,0.5,,2,,,,,6
wazir singh,Raider,Haryana Steelers,2,2,2,2,,,2,,,,,,,6
tae deok eom,All Rounder,Patna Pirates,11,1,,,1,1,,0.09,,,,,,6
nithesh b r,Defender,Bengaluru Bulls,2,1,,,1,1,,,,,,,,6
bajirao hodage,Defender,Jaipur Pink Panthers,6,1,,,1,1,,0.17,,,,,,6
sombir,Defender,Telugu Titans,4,1,,,1,1,,0.25,,,,,,6
e subash,All Rounder,U Mumba,2,1,,,1,1,,,,,,,,6
tapas pal,All Rounder,Dabang Delhi,2,1,,,1,1,,,,,,,,6
pankaj,All Rounder,UP Yoddha,1,1,,,1,1,,,,,,,,6
arun kumar hn,Raider,Haryana Steelers,2,1,1,1,,,,,,,,,,6
vikram kandola,Defender,Gujarat Fortune Giants,1,1,,,1,1,,1,,,,,,6
aashish nagar,Defender,UP Yoddha,3,1,,,1,1,,,,,,,,6
c kalai arasan,Defender,Gujarat Fortune Giants,2,,,,,,,0,,,,,,6
vinod kumar,Defender,Puneri Paltan,2,,,,,,,0,,,,,,6
hadi tajik,Defender,U Mumba,5,,,,,,,0,,,,,,6
pardeep narwal,Raider,Patna Pirates,26,369,271,369,,,14.19,0,29,18,,19,,5
rohit kumar,Raider,Bengaluru Bulls,22,231,192,219,11,12,9.95,0.55,36,1,1,12,,5
ajay thakur,Raider,Tamil Thalaivas,22,222,182,213,9,9,9.68,0.41,30,3,,12,,5
monu goyat,Raider,Patna Pirates,26,202,159,191,10,11,7.35,0.42,45,4,1,9,,5
rahul chaudhari,Raider,Telugu Titans,22,193,159,184,9,9,8.36,0.41,28,5,,8,,5
maninder singh,Raider,Bengal Warriors,21,192,154,190,2,2,9.05,0.1,22,6,,9,,5
deepak niwas hooda,All Rounder,Puneri Paltan,24,186,127,172,13,14,7.17,0.58,47,8,1,7,,5
nitin tomar,Raider,UP Yoddha,20,177,135,167,9,10,8.35,0.5,23,7,1,7,,5
sachin,Raider,Gujarat Fortune Giants,24,173,132,159,13,14,6.63,0.58,37,2,1,7,,5
rishank devadiga,Raider,UP Yoddha,21,170,126,165,4,5,7.86,0.24,32,12,1,5,,5
anup kumar,Raider,U Mumba,21,135,84,112,19,23,5.33,1.1,5,2,4,2,,5
k. prapanjan,Raider,Tamil Thalaivas,22,124,104,123,1,1,5.59,0.05,34,2,,3,,5
pawan kumar kadian,Raider,Jaipur Pink Panthers,21,122,95,122,,,5.81,0,27,2,,3,,5
kashiling adake,Raider,U Mumba,20,122,81,114,7,8,5.7,0.4,27,4,1,3,,5
wazir singh,Raider,Haryana Steelers,21,120,86,107,11,13,5.1,0.62,27,3,2,3,,5
nilesh salunke,Raider,Telugu Titans,21,105,78,98,5,7,4.67,0.33,22,2,2,3,,5
meraj sheykh,All Rounder,Dabang Delhi,20,104,76,96,8,8,4.8,0.4,31,3,,2,,5
shrikant jadhav,Raider,U Mumba,19,98,70,86,10,12,4.78,0.63,22,2,2,2,,5
abolfazl maghsodloumahali,Raider,Dabang Delhi,19,97,77,91,5,6,4.79,0.32,26,,1,,,5
rajesh mondal,Raider,Puneri Paltan,24,91,75,90,1,1,3.75,0.04,40,1,,1,,5
jang kun lee,Raider,Bengal Warriors,21,89,80,89,,,4.24,0,8,,,,,5
ajay kumar,Raider,Bengaluru Bulls,22,89,70,89,,,4.05,,39,2,,2,,5
deepak narwal,Raider,Bengal Warriors,16,87,71,85,2,2,5.31,0.13,25,1,,4,,5
sandeep narwal,All Rounder,Puneri Paltan,21,85,29,33,49,52,1.65,2.48,2,1,3,,1,5
nitin rawal,Defender,Jaipur Pink Panthers,21,85,49,65,19,20,3.1,0.95,21,4,1,2,,5
surender nada,Defender,Haryana Steelers,21,83,2,3,74,80,0.25,3.81,,,6,,9,5
prashanth kumar rai,Raider,Haryana Steelers,16,80,62,78,1,2,4.88,0.13,13,3,1,3,,5
po surjeet singh,Defender,Bengal Warriors,24,79,3,3,72,76,0.16,3.17,,,4,,9,5
deepak kumar dahiya,Raider,Haryana Steelers,16,78,61,76,2,2,4.75,0.13,38,3,,1,,5
sukesh hegde,Raider,Gujarat Fortune Giants,18,77,58,75,2,2,4.17,0.11,17,2,,1,,5
rohit baliyan,Raider,Dabang Delhi,17,74,55,65,9,9,3.82,0.53,8,1,,1,,5
vishal bhardwaj,All Rounder,Telugu Titans,22,71,,,68,71,,3.23,,,3,,5,5
jaideep,Defender,Patna Pirates,26,71,,,66,71,,2.73,,,5,,5,5
surender singh,Raider,UP Yoddha,18,70,47,68,2,2,4,0.11,19,2,,2,,5
girish maruti ernak,Defender,Puneri Paltan,21,69,1,5,61,64,0.45,3.05,1,1,3,,5,5
tushar patil,Raider,Jaipur Pink Panthers,17,67,49,64,3,3,3.76,0.18,13,3,,,,5
jasvir singh,Raider,Jaipur Pink Panthers,15,66,49,61,3,5,4.07,0.33,14,3,2,2,,5
abozar mohajermighani,Defender,Gujarat Fortune Giants,24,66,,1,63,65,0.17,2.71,,,2,,2,5
ran singh,All Rounder,Bengal Warriors,23,64,10,12,49,52,1.09,2.26,,,3,,2,5
vijay,Raider,Patna Pirates,19,64,18,27,34,37,1.59,1.95,6,1,3,,1,5
cpo surjeet singh,Raider,Haryana Steelers,17,63,47,59,4,4,3.47,0.24,4,1,,1,,5
mahendra ganesh rajput,Raider,Gujarat Fortune Giants,17,62,43,57,5,5,3.35,0.29,15,3,,,,5
amit hooda,Defender,Tamil Thalaivas,22,61,,,55,61,0,2.77,,,6,,2,5
vikash khandola,Raider,Haryana Steelers,9,58,44,58,,,6.44,,16,1,,,,5
sunil kumar,Defender,Gujarat Fortune Giants,24,58,1,1,55,57,0.08,2.38,,,2,,3,5
surender singh,Defender,U Mumba,22,58,,,58,58,,2.64,,,,,3,5
mahender singh,Defender,Bengaluru Bulls,22,58,1,1,52,57,,2.59,,,5,,3,5
fazel atrachali,Defender,Gujarat Fortune Giants,24,57,,,54,57,0,2.38,,,3,,4,5
ravinder pahal,Defender,Bengaluru Bulls,19,54,1,2,49,52,0.4,2.74,,,3,,3,5
manjeet chhillar,All Rounder,Jaipur Pink Panthers,15,52,4,5,46,47,0.5,3.13,,,1,,3,5
chandran ranjit,Raider,Gujarat Fortune Giants,11,51,43,51,,,4.64,,13,3,,1,,5
monu,Raider,Puneri Paltan,19,49,15,19,29,30,1,1.58,6,1,1,,1,5
vinod kumar,Raider,Patna Pirates,21,48,20,34,9,14,1.62,0.67,13,2,5,,,5
parvesh bhainswal,Defender,Gujarat Fortune Giants,24,48,,,44,48,,2,,,4,,2,5
kuldeep singh,All Rounder,U Mumba,20,47,7,16,25,31,1.23,1.55,,1,6,,1,5
mohsen maghsoudloujafari,Raider,Telugu Titans,16,47,26,41,5,6,2.56,0.38,21,2,1,1,,5
nitesh kumar,Defender,UP Yoddha,19,47,,,46,47,,2.47,,,1,,4,5
jeeva kumar,Defender,UP Yoddha,22,44,,,37,44,,2,,,7,,1,5
mohit chhillar,Defender,Haryana Steelers,20,42,1,3,35,39,0.43,1.95,,,4,,2,5
mahesh goud,Raider,UP Yoddha,21,42,30,35,4,7,1.84,0.33,8,,3,,,5
vinod kumar,Raider,Bengal Warriors,19,41,27,33,8,8,1.94,0.42,18,,,,,5
darshan j.,Defender,Tamil Thalaivas,20,41,,1,39,40,,2,,,1,,1,5
darshan kadian,Raider,U Mumba,16,40,24,33,4,7,2.36,0.44,10,1,3,,,5
shrikant tewthia,All Rounder,Bengal Warriors,23,40,2,4,31,36,,1.57,,1,5,,1,5
vishal mane,Defender,Patna Pirates,26,39,,,36,39,,1.5,,,3,,1,5
sombir,Defender,Telugu Titans,17,39,,,33,39,,2.29,,,6,,2,5
rohit gulia,All Rounder,Gujarat Fortune Giants,19,38,33,35,3,3,1.84,0.16,12,,,,,5
shabeer bappu,Raider,U Mumba,12,38,30,35,2,3,2.92,0.25,9,,1,1,,5
c. arun,Defender,Tamil Thalaivas,20,36,,1,30,35,0.13,1.75,,,5,,1,5
r. sriram,Raider,Dabang Delhi,11,36,29,35,1,1,3.18,0.09,16,,,,,5
jawahar dagar,Raider,Patna Pirates,18,35,3,6,26,29,0.6,1.61,1,,3,,,5
vikas kumar,Raider,Telugu Titans,14,35,26,30,4,5,2.14,0.36,9,,1,,,5
anand patil,Raider,Dabang Delhi,19,33,24,33,,,1.83,0,7,2,,,,5
sagar b krishna,All Rounder,UP Yoddha,17,33,1,1,29,32,0.14,1.88,,,3,,3,5
ashish kumar,Defender,Bengaluru Bulls,20,32,16,17,14,15,1,0.75,4,,1,,1,5
kuldeep singh,Defender,Bengaluru Bulls,16,32,,,30,32,,2,,,2,,3,5
sunil jaipal,Raider,Bengaluru Bulls,13,31,13,16,12,15,1.23,1.15,2,,3,,,5
sidharth,All Rounder,Jaipur Pink Panthers,21,31,3,4,24,27,0.36,1.29,,,3,,1,5
vineet sharma,Raider,Tamil Thalaivas,18,30,15,16,13,14,0.94,0.78,3,,1,,,5
somvir shekhar,Defender,Jaipur Pink Panthers,22,30,,,29,30,,1.36,,,1,,,5
ravi kumar,Defender,Puneri Paltan,23,30,,,28,30,,1.3,,,2,,,5
dong geon lee,Raider,Tamil Thalaivas,17,29,24,29,,,1.71,,13,,,,,5
d. pradap,All Rounder,Tamil Thalaivas,16,29,6,9,19,20,0.6,1.25,,,1,,,5
farhad rahimi milaghardan,Defender,Telugu Titans,18,28,5,6,22,22,0.6,1.22,1,,,,,5
bhupender singh,All Rounder,Bengal Warriors,17,28,16,28,,,1.65,0,7,2,,,,5
satpal,Defender,Dabang Delhi,10,28,,4,22,24,0.57,2.4,1,,2,,1,5
rajesh narwal,All Rounder,UP Yoddha,16,27,7,11,15,16,0.69,1,,1,1,,,5
vikash,Defender,Haryana Steelers,19,26,,,24,26,,1.37,,,2,,,5
dharmaraj cheralathan,Defender,Puneri Paltan,18,25,,,24,25,0,1.39,,,1,,,5
sunil,Defender,Dabang Delhi,18,25,,,24,25,,1.39,,,1,,,5
harish naik,Raider,Bengaluru Bulls,14,24,20,24,,,1.71,0,6,,,1,,5
gurvinder singh,Raider,Bengaluru Bulls,9,24,10,17,7,7,1.89,0.78,5,1,,,,5
nilesh shinde,Defender,Dabang Delhi,15,24,2,4,19,20,0.5,1.33,1,,1,,3,5
rohit rana,Defender,Telugu Titans,21,24,,,24,24,,1.14,,,,,,5
rakesh singh kumar,Defender,Haryana Steelers,19,24,,,23,24,,1.26,,,1,,1,5
rakesh kumar,All Rounder,Telugu Titans,10,23,7,7,15,16,0.7,1.6,,,1,,,5
ajit singh,Raider,Jaipur Pink Panthers,11,23,17,23,,,2.09,,7,1,,,,5
sachin shingade,Defender,Patna Pirates,26,22,,,21,22,,0.85,,,1,,,5
manish,Defender,Patna Pirates,23,22,,,17,22,,0.96,,,5,,,5
suresh kumar,Raider,Puneri Paltan,11,22,12,22,,,2,,9,,,,,5
rinku narwal,Defender,Puneri Paltan,13,22,1,1,17,21,0.2,1.62,,,4,,1,5
akshay jadhav,Raider,Puneri Paltan,10,21,9,9,10,12,0.9,1.2,4,,2,,1,5
ziaur rahman,Defender,Puneri Paltan,16,20,,,18,20,,1.25,,,2,,1,5
hadi oshtorak,All Rounder,U Mumba,16,20,,,17,20,,1.25,,,3,,,5
rakesh narwal,Raider,Gujarat Fortune Giants,6,18,15,17,1,1,2.83,,1,1,,,,5
sunil siddhgavali,Raider,Jaipur Pink Panthers,12,16,,,15,16,,1.33,,,1,,1,5
pankaj,All Rounder,UP Yoddha,13,16,,,16,16,0,1.23,,,,,,5
elangeshwaran r,All Rounder,Telugu Titans,5,16,7,12,2,4,2.4,0.8,4,1,2,,,5
m. thivakaran,Raider,Tamil Thalaivas,9,16,11,14,2,2,1.56,,8,,,,,5
viraj vishnu landge,Defender,Dabang Delhi,19,16,,,16,16,,0.84,,,,,,5
more gb,Raider,Puneri Paltan,6,16,13,14,2,2,2.33,,8,,,,,5
santhapanaselvam,All Rounder,Jaipur Pink Panthers,10,15,,,15,15,,1.5,,,,,,5
rakshith,Raider,Telugu Titans,6,14,11,12,2,2,2,,1,,,,,5
neeraj kumar,Defender,Haryana Steelers,17,13,,,12,13,,0.76,,,1,,,5
rohit kumar choudary,Raider,Puneri Paltan,11,13,10,13,,,1.18,,1,,,,,5
swapnil dilip shinde,Defender,Dabang Delhi,13,13,,,13,13,,1,,,,,,5
vikas jaglan,Raider,Patna Pirates,13,13,8,10,3,3,0.83,0.23,1,1,,,,5
nitin madane,Raider,U Mumba,12,13,11,13,,,1.08,0,3,,,,,5
santhosh b.s,Defender,UP Yoddha,9,12,1,3,8,9,0.43,1,,1,1,,,5
ashish chhokar,Raider,Haryana Steelers,5,12,6,9,3,3,1.8,0.6,1,1,,,,5
n. renjith,Defender,U Mumba,11,12,,,10,12,,1.09,,,2,,,5
bajirao hodage,Defender,Dabang Delhi,12,11,,,11,11,,0.92,,,,,,5
vishal,All Rounder,Dabang Delhi,5,11,1,2,6,9,0.5,1.8,1,,3,,1,5
yatharth deshwal,All Rounder,Dabang Delhi,6,11,,,10,11,,1.83,,,1,,,5
pawan kumar sehrawat,Raider,Gujarat Fortune Giants,9,10,5,9,1,1,1,,3,,,,,5
hadi tajik,Defender,UP Yoddha,9,9,2,4,5,5,0.5,0.56,1,,,,,5
tapas pal,All Rounder,Dabang Delhi,5,9,,,9,9,,1.8,,,,,,5
joginder singh narwal,Defender,U Mumba,8,9,,,9,9,,1.13,,,,,,5
d. suresh kumar,Defender,U Mumba,5,8,,,6,8,,1.6,,,2,,,5
ravi dalal,Raider,Dabang Delhi,5,8,3,5,3,3,1,0.6,1,,,,,5
mohan raman g,Raider,U Mumba,4,8,4,8,,,2,,1,,,,,5
virender wazir singh,Raider,Bengal Warriors,3,8,3,8,,,2.67,,5,1,,,,5
deepak yadav,Defender,U Mumba,4,8,,,7,8,,2,,,1,,,5
kuldeep singh,All Rounder,Haryana Steelers,5,8,,1,6,7,,1.4,,,1,,1,5
