player,matches_played,total_points_earned,Most points_in_a_match,not_out_percent,Total_Raids,Successful_Raids_percent,no_of_super_raids,super_10s,total_raid_points,avg_raid_points_per_match,no_of_super_tackles,high_5s,total_tackle_points,avg_tackle_per_match,total_tackles,tackle_strike_rate,season
abozar mohajermighani,24,66,5,83.33%,6,16.66,0,0,1,0.04,2,2,65,2.62,116,56.03%,5
ravi kumar,90,150,8,88.23%,34,0,0,0,0,0,18,7,150,1.46,329,45.59%,All
ravi kumar,15,34,6,100%,2,0,0,0,0,0,4,2,34,2,71,47.88%,7
ravi kumar,22,40,6,100%,2,0,0,0,0,0,7,2,40,1.5,96,41.66%,6
ravi kumar,23,30,4,100%,2,0,0,0,0,0,2,0,30,1.21,68,44.11%,5
ravi kumar,5,0,0,100%,5,0,0,0,0,0,0,0,0,0,9,0,4
ravi kumar,12,9,2,0,1,0,0,0,0,0,1,0,9,0.66,24,37.50%,3
ravi kumar,13,37,8,86.36%,22,0,0,0,0,0,4,3,37,2.53,61,60.65%,2
vijay,56,171,8,84.43%,257,43.19,2,0,111,1.98,4,1,60,1,159,37.73%,All
vijay,16,34,6,84.12%,63,38.09,1,0,24,1.5,0,0,10,0.62,32,31.25%,7
vijay,21,73,8,81.08%,111,54.05,0,0,60,2.85,1,0,13,0.57,44,29.54%,6
vijay,19,64,7,89.15%,83,32.53,1,0,27,1.42,3,1,37,1.78,83,44.57%,5
sonu jaglan,13,33,8,72.46%,69,42.02,3,0,29,2.23,1,0,4,0.23,4,100%,All
sonu jaglan,13,33,8,72.46%,69,42.02,3,0,29,2.23,1,0,4,0.23,4,100%,7
meraj sheykh,94,393,15,78.95%,860,39.41,17,6,339,3.6,6,0,54,0.51,146,36.98%,All
meraj sheykh,12,31,12,68.75%,64,46.87,1,1,30,2.5,0,0,1,0.08,2,50%,7
meraj sheykh,19,97,15,77.46%,213,44.13,6,2,94,4.94,0,0,3,0.15,16,18.75%,6
meraj sheykh,20,104,14,82.53%,292,32.87,3,2,96,4.8,0,0,8,0.4,37,21.62%,5
meraj sheykh,14,75,11,85.39%,178,35.39,4,0,63,4.5,3,0,12,0.64,30,40%,4
meraj sheykh,14,48,11,71.42%,70,38.57,0,0,27,1.92,3,0,21,1.28,38,55.26%,3
meraj sheykh,15,38,11,62.79%,43,67.44,3,1,29,1.93,0,0,9,0.6,23,39.13%,2
amit hooda,84,233,8,81.13%,53,16.98,0,0,9,0.1,18,11,224,2.45,420,53.33%,All
amit hooda,12,31,5,100%,3,0,0,0,0,0,3,2,31,2.33,61,50.81%,7
amit hooda,18,51,8,0,2,100,0,0,2,0.11,4,4,49,2.5,85,57.64%,6
amit hooda,22,61,6,85.71%,7,0,0,0,0,0,6,2,61,2.5,117,52.13%,5
amit hooda,16,53,6,0,2,100,0,0,2,0.12,4,3,51,2.93,89,57.30%,4
amit hooda,4,11,3,100%,4,0,0,0,0,0,0,0,11,2.75,27,40.74%,3
amit hooda,12,26,5,85.71%,35,14.28,0,0,5,0.41,1,0,21,1.66,41,51.21%,2
ashu singh,17,31,4,100%,1,0,0,0,0,0,2,0,31,1.7,74,41.89%,All
ashu singh,17,31,4,100%,1,0,0,0,0,0,2,0,31,1.7,74,41.89%,7
girish maruti ernak,102,266,8,92.53%,67,13.43,1,0,9,0.08,14,16,257,2.38,555,46.30%,All
girish maruti ernak,13,29,6,0,0,0,0,0,0,0,3,1,29,2,72,40.27%,7
girish maruti ernak,20,57,6,87.50%,8,12.5,0,0,1,0.05,4,4,56,2.6,113,49.55%,6
girish maruti ernak,21,69,8,88.88%,18,27.77,1,0,5,0.23,3,5,64,2.9,111,57.65%,5
girish maruti ernak,12,25,5,100%,13,0,0,0,0,0,2,1,25,1.91,58,43.10%,4
girish maruti ernak,11,34,5,94.11%,17,5.88,0,0,1,0.09,0,3,33,3,65,50.76%,3
girish maruti ernak,13,27,5,100%,5,0,0,0,0,0,1,1,27,2,66,40.90%,2
girish maruti ernak,12,25,6,83.33%,6,33.33,0,0,2,0.16,1,1,23,1.83,70,32.85%,1
jeeva kumar,110,225,9,100%,4,25,0,0,1,0,22,5,224,1.83,482,46.47%,All
jeeva kumar,17,29,4,0,0,0,0,0,0,0,1,0,29,1.64,75,38.66%,7
jeeva kumar,19,40,5,100%,1,0,0,0,0,0,4,1,40,1.89,90,44.44%,6
jeeva kumar,22,44,5,100%,2,0,0,0,0,0,7,1,44,1.68,104,42.30%,5
jeeva kumar,14,26,4,0,0,0,0,0,0,0,2,0,26,1.71,62,41.93%,4
jeeva kumar,16,31,4,0,0,0,0,0,0,0,1,0,31,1.87,62,50%,3
jeeva kumar,13,39,9,100%,1,100,0,0,1,0.07,7,3,38,2.38,58,65.51%,2
jeeva kumar,9,16,4,0,0,0,0,0,0,0,0,0,16,1.77,31,51.61%,1
sukesh hegde,95,395,15,83.40%,922,41.21,15,1,380,4,2,0,15,0.13,91,16.48%,All
sukesh hegde,11,29,8,84.37%,64,43.75,2,0,28,2.54,0,0,1,0.09,2,50%,7
sukesh hegde,17,71,9,82.38%,176,38.63,3,0,68,4,1,0,3,0.11,19,15.78%,6
sukesh hegde,18,77,15,87.65%,235,31.91,2,1,75,4.16,0,0,2,0.11,13,15.38%,5
sukesh hegde,9,7,3,78.94%,38,18.42,0,0,7,0.77,0,0,0,0,7,0,4
sukesh hegde,13,64,9,80.13%,146,41.78,0,0,61,4.69,1,0,3,0.15,16,18.75%,3
sukesh hegde,13,64,9,83.45%,133,46.61,5,0,62,4.76,0,0,2,0.15,13,15.38%,2
sukesh hegde,14,83,9,81.53%,130,60.76,3,0,79,5.64,0,0,4,0.28,21,19.04%,1
shabeer bappu,74,236,15,83.04%,637,33.43,5,5,213,2.87,7,1,23,0.21,85,27.05%,All
shabeer bappu,14,29,5,87.09%,93,23.65,0,0,22,1.57,1,0,7,0.42,22,31.81%,7
shabeer bappu,6,7,5,65.38%,26,26.92,0,0,7,1.16,0,0,0,0,7,0,6
shabeer bappu,12,38,13,80.55%,108,32.4,0,1,35,2.91,1,0,3,0.16,14,21.42%,5
shabeer bappu,12,35,10,90%,100,24,1,0,24,2,5,1,11,0.5,19,57.89%,4
shabeer bappu,10,13,4,71.64%,67,19.4,0,0,13,1.3,0,0,0,0,4,0,3
shabeer bappu,10,47,10,79.83%,124,37.09,2,1,46,4.6,0,0,1,0.1,6,16.66%,2
shabeer bappu,10,67,15,89.91%,119,55.46,2,3,66,6.6,0,0,1,0.1,13,7.69%,1
rajnish,12,37,10,75.86%,87,41.37,1,1,36,3,0,0,1,0.08,9,11.11%,All
rajnish,8,28,10,78.68%,61,44.26,1,1,27,3.37,0,0,1,0.12,6,16.66%,7
rajnish,4,9,5,69.23%,26,34.61,0,0,9,2.25,0,0,0,0,3,0,6
jadhav balasaheb shahaji,16,27,5,0,0,0,0,0,0,0,5,2,27,1.37,50,54%,All
jadhav balasaheb shahaji,16,27,5,0,0,0,0,0,0,0,5,2,27,1.37,50,54%,7
vikas jaglan,45,75,9,78.81%,118,35.59,2,0,42,0.93,0,0,33,0.73,95,34.73%,All
vikas jaglan,18,25,6,80.39%,51,21.56,0,0,11,0.61,0,0,14,0.77,49,28.57%,7
vikas jaglan,14,37,9,78.57%,42,50,1,0,21,1.5,0,0,16,1.14,37,43.24%,6
vikas jaglan,13,13,5,76%,25,40,1,0,10,0.76,0,0,3,0.23,9,33.33%,5
pawan kumar kadian,74,279,17,75.49%,653,42.41,4,5,277,3.74,0,0,2,0.02,37,5.40%,All
pawan kumar kadian,6,25,10,79.66%,59,42.37,0,1,25,4.16,0,0,0,0,2,0,7
pawan kumar kadian,13,45,9,80%,90,50,1,0,45,3.46,0,0,0,0,5,0,6
pawan kumar kadian,21,122,17,75.70%,284,42.95,2,3,122,5.8,0,0,0,0,13,0,5
pawan kumar kadian,9,21,6,75.75%,66,30.3,0,0,20,2.22,0,0,1,0.11,7,14.28%,4
pawan kumar kadian,5,6,3,80%,25,24,0,0,6,1.2,0,0,0,0,2,0,3
pawan kumar kadian,10,16,7,61.90%,42,38.09,1,0,16,1.6,0,0,0,0,1,0,2
pawan kumar kadian,10,44,14,72.41%,87,49.42,0,1,43,4.3,0,0,1,0.1,7,14.28%,1
rakesh gowda,7,24,7,81.81%,44,36.36,0,0,16,2.28,3,0,8,0.71,14,57.14%,All
rakesh gowda,7,24,7,81.81%,44,36.36,0,0,16,2.28,3,0,8,0.71,14,57.14%,7
amit,31,30,4,100%,14,14.28,0,0,2,0.06,3,0,28,0.8,92,30.43%,All
amit,17,24,4,100%,14,14.28,0,0,2,0.11,2,0,22,1.17,61,36.06%,7
